			cJUN	AKT	ERK12	GSK3	Ikb	JNK12	p38	p70S6	p90RSK	STAT3	CREB	HistH3	HSP27	IRS1s	MEK1222	p53	STAT6
Type	Well	Description	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI
X32	H4	1oHum_03hrs_X32_Col04rH_TNFa_JNKi	8457.0	2154.0	466.0	529.5	979.0	179.5	283.5	2566.5	224.5	28.0	480.0	159.0	6303.0	357.0	1053.0	132.0	104.0
X33	A5	1oHum_03hrs_X33_Col05rA_IL1a_DMSO	20346.0	5102.0	556.0	2229.0	1716.0	194.5	337.0	9840.0	451.0	122.0	802.0	271.0	17018.0	1273.5	3198.5	350.0	168.0
X34	B5	1oHum_03hrs_X34_Col05rB_IL1a_MEKi	22801.0	8290.5	360.0	2504.5	1834.5	273.0	394.5	10432.0	338.0	239.0	822.0	280.5	18592.5	1240.0	13727.0	389.0	192.0
X35	C5	1oHum_03hrs_X35_Col05rC_IL1a_p38i	22374.0	6163.0	617.0	2401.5	1951.0	345.5	223.0	10040.0	565.0	182.0	613.5	303.0	3205.0	1500.0	4432.0	486.0	160.0
X36	D5	1oHum_03hrs_X36_Col05rD_IL1a_PI3K	21427.0	3902.0	482.0	1344.0	1395.5	286.5	354.0	7346.5	428.0	140.0	794.0	303.0	17060.0	1133.0	3429.0	322.0	166.5
X37	E5	1oHum_03hrs_X37_Col05rE_IL1a_IKKi	19392.0	4014.5	890.0	2100.0	1214.0	469.0	836.0	9971.0	462.0	36.0	621.5	250.0	23297.5	1851.0	1768.0	341.0	172.0
X38	F5	1oHum_03hrs_X38_Col05rF_IL1a_mTOR	18651.0	3667.0	523.0	2010.0	1430.0	214.0	310.0	4598.0	350.0	98.0	664.0	239.0	13013.0	1029.5	2774.0	209.5	166.0
X39	G5	1oHum_03hrs_X39_Col05rG_IL1a_GSK3	19528.0	3157.0	562.5	1933.0	1492.0	172.0	254.0	7464.0	389.0	79.0	744.5	219.0	14353.0	1127.5	2391.0	209.5	142.5
X40	H5	1oHum_03hrs_X40_Col05rH_IL1a_JNKi	13813.0	1576.0	525.0	705.0	1727.0	167.0	240.5	2745.0	294.5	41.0	514.0	192.0	11754.0	545.0	1574.5	130.5	149.0
X41	A6	1oHum_03hrs_X41_Col06rA_IL06_DMSO	19902.0	7108.0	643.0	2419.0	801.5	259.0	397.5	9420.5	435.0	2278.0	824.0	271.5	11524.0	1442.5	4275.0	214.5	194.5
